년월,대여종류,대여소번호,대여소명,건수,운동량,탄소절감량,이동거리,이동시간,RNUM
202207,정기권,00108,108. 서교동 사거리,6,241.74,1.82,7822.13,203,1
202207,정기권,00109,109. 제일빌딩 앞,2,454.92,4.61,19880.00,98,78
202207,정기권,00400,400. 상암한화오벨리스크 1차 앞,6,150.89,1.56,6710.55,58,79
202207,정기권,00505,505. 자양사거리 광진아크로텔 앞,40,1673.88,14.80,63616.06,546,19
202207,정기권,00508,508. 성수아카데미타워 앞,4,76.17,0.96,4131.87,54,40
202207,정기권,00509,509. 이마트 버스정류소 옆,7,231.11,2.14,9218.70,71,47
202207,정기권,00510,510. 서울숲 남문 버스정류소 옆,2,379.17,3.41,14680.93,76,55
202207,정기권,00512,512. 뚝섬역 1번 출구 옆,2,287.48,2.99,12901.88,118,71
202207,정기권,00513,513. 뚝섬역 5번 출구 정류소 옆,11,187.79,1.73,7548.03,47,89
202207,정기권,00514,514. 성수사거리 버스정류장 앞,10,207.86,1.93,8336.70,138,95
202207,정기권,00729,729. 서부식자재마트 건너편,42,2176.30,16.95,73130.11,400,2
202207,정기권,00731,731. 서울시 도로환경관리센터,29,1369.82,13.72,59162.11,448,3
202207,정기권,00732,732. 신월중학교,2,183.67,1.59,6842.72,31,4
202207,정기권,00733,733. 신정이펜하우스314동,38,1122.03,10.14,43668.23,332,5
202207,정기권,00734,734. 신트리공원 입구,73,5962.73,52.35,225429.01,1565,6
202207,정기권,00735,735. 영도초등학교,84,2248.57,23.71,102344.48,1008,7
202207,정기권,00736,736. 오솔길공원,21,596.43,5.05,21868.98,158,8
202207,정기권,00737,737. 장수공원,5,344.05,3.29,14198.59,90,9
202207,정기권,00739,739. 신월사거리,34,921.34,9.15,39381.02,233,10
202207,정기권,00740,740. 으뜸공원,10,317.77,2.82,12143.27,139,11
202207,정기권,00742,742. 등촌역 5번 출구 뒤,6,224.19,2.21,9550.57,62,12
202207,정기권,00743,743. 현대6차아파트 101동 옆,6,264.28,2.67,11490.88,85,13
202207,정기권,00744,744. 신목동역 2번 출구,10,200.11,3.00,12897.56,74,14
202207,정기권,00745,745. 강서초등학교,13,782.73,7.32,31523.12,390,15
202207,정기권,00746,746. 목동2단지 상가,138,6786.86,63.35,273083.23,2181,16
202207,정기권,00747,747. 목동3단지 상가,43,1938.82,17.59,75771.27,533,17
202207,정기권,00748,748. 목동운동장,18,848.75,9.11,39315.62,364,18
202207,정기권,00934,934. 신사동 성당,2,135.43,1.05,4500.00,63,20
202207,정기권,00939,939. 은평구청 교차로,2,24.53,0.26,1110.00,5,21
202207,정기권,00941,941. 은평뉴타운 도서관,1,19.08,0.18,790.00,5,22
202207,정기권,00942,942. 상림마을 생태공원,1,12.27,0.13,563.46,3,23
202207,정기권,00947,947. 연신내 선일하이츠빌 정류소,10,471.46,4.61,19842.27,95,24
202207,정기권,00948,948. 디지털미디어 시티역 4번출구(DMC역),3,270.55,2.17,9338.12,159,25
202207,정기권,00949,949. 연신내역 1번 출구 ,32,675.14,6.29,27131.32,427,26
202207,정기권,00950,950. 구산역 2번 출구 예일여고 버스정류장,8,389.31,3.56,15315.08,283,27
202207,정기권,00952,952. 서울연신중학교,22,248.08,2.22,9638.70,42,28
202207,정기권,00953,953. 서울연신초등학교,1,137.69,1.61,6953.95,54,29
202207,정기권,01023,1023. 한국종합기술사옥 앞,15,672.97,6.47,27919.74,219,30
202207,정기권,01024,1024.  강동구청 앞,9,442.45,4.65,20022.43,227,31
202207,정기권,01025,1025. 상일초등학교,8,391.81,3.73,16074.21,162,32
202207,정기권,01026,1026. 대명초교 입구 교차로,18,870.45,8.24,35549.32,211,33
202207,정기권,01027,1027. 프라자 아파트 앞,7,224.07,2.25,9700.17,58,34
202207,정기권,01028,1028. 포레스 주상복합 빌딩,7,124.22,1.20,5210.21,35,35
202207,정기권,01029,1029. 성내어울터,25,1438.75,12.62,54424.79,523,36
202207,정기권,01030,1030. 미호 플랜트 앞,2,42.03,0.45,1930.00,18,37
202207,정기권,01031,1031. 올림픽로 836(아리수로),5,203.60,1.77,7632.87,104,38
202207,정기권,01032,1032. 선사고등학교,9,785.25,6.77,29185.05,162,39
202207,정기권,01033,1033. 고덕동 아남아파트,8,343.58,3.34,14451.47,277,41
202207,정기권,01034,1034. 고덕동 래미안 힐스테이트,13,1176.99,3.70,16002.53,101,42
202207,정기권,01035,1035. 고덕역 4번출구,29,1135.77,8.42,36375.19,259,43
202207,정기권,01036,1036. 고덕동 주양쇼핑,21,865.78,6.71,28857.35,260,44
202207,정기권,01037,1037. 강일리버파크 6단지,12,480.38,4.05,17429.39,113,45
202207,정기권,01041,1041. 묘곡초등학교,21,2168.72,20.65,88928.58,553,46
202207,정기권,01044,1044. 굽은다리역,72,3161.24,29.04,125236.05,1155,48
202207,정기권,01150,1150. 송정역 1번출구,20,1100.94,10.93,47085.68,402,49
202207,정기권,01151,1151. 마곡역1번출구,42,672.54,6.69,28958.14,211,50
202207,정기권,01152,1152. 마곡역교차로,89,2404.15,22.20,95731.35,856,51
202207,정기권,01153,"1153. 발산역 1번, 9번 인근 대여소",134,6887.00,61.92,266891.99,2362,52
202207,정기권,01155,1155. 기쁜우리복지관,39,1021.72,9.31,40251.92,283,53
202207,정기권,01157,1157. 강서구청,8,450.61,3.59,15503.09,210,54
202207,정기권,01251,1251. 석촌역 2번출구,20,505.57,4.45,19251.98,184,56
202207,정기권,01253,1253. 오금역 3번 출구 뒤,7,186.95,1.93,8364.98,48,57
202207,정기권,01256,1256. 문정현대아파트 교차로,4,155.95,1.92,8286.40,249,58
